month,day,hour,precipitation_mm,water_input_m3
1,1,0,0.11,24863
1,1,1,0.06,12811
1,1,2,0.05,10279
1,1,3,0.03,6108
1,1,4,0.01,2082
1,1,5,0.0,1041
1,1,6,0.04,9255
1,1,7,0.09,21088
1,1,8,0.14,31233
1,1,9,0.27,60280
1,1,10,0.17,39109
1,1,11,0.14,31267
1,1,12,0.13,28145
1,1,13,0.05,11538
1,1,14,0.04,10063
1,1,15,0.05,11405
1,1,16,0.03,6607
1,1,17,0.06,14313
1,1,18,0.08,17096
1,1,19,0.1,22893
1,1,20,0.19,42309
1,1,21,0.09,20868
1,1,22,0.06,13494
1,1,23,0.06,14239
1,2,0,0.08,19107
1,2,1,0.06,13638
1,2,2,0.03,6301
1,2,3,0.02,4839
1,2,4,0.01,1880
1,2,5,0.0,1025
1,2,6,0.03,5637
1,2,7,0.12,25887
1,2,8,0.16,35267
1,2,9,0.17,39044
1,2,10,0.24,53329
1,2,11,0.11,24586
1,2,12,0.12,27926
1,2,13,0.05,11281
1,2,14,0.05,11818
1,2,15,0.06,13923
1,2,16,0.05,10480
1,2,17,0.06,13839
1,2,18,0.1,21477
1,2,19,0.15,32723
1,2,20,0.09,19518
1,2,21,0.08,18137
1,2,22,0.05,11742
1,2,23,0.12,27962
1,3,0,0.11,24017
1,3,1,0.03,7421
1,3,2,0.04,9563
1,3,3,0.02,3998
1,3,4,0.01,1837
1,3,5,0.01,1275
1,3,6,0.04,8345
1,3,7,0.1,21813
1,3,8,0.12,27962
1,3,9,0.22,48977
1,3,10,0.21,47897
1,3,11,0.2,44017
1,3,12,0.1,23361
1,3,13,0.09,21090
1,3,14,0.06,12800
1,3,15,0.04,9302
1,3,16,0.05,10644
1,3,17,0.08,17769
1,3,18,0.1,21719
1,3,19,0.2,44265
1,3,20,0.15,33763
1,3,21,0.08,18550
1,3,22,0.06,14469
1,3,23,0.14,30621
1,4,0,0.1,21919
1,4,1,0.08,18461
1,4,2,0.01,3053
1,4,3,0.02,5332
1,4,4,0.01,2260
1,4,5,0.0,1023
1,4,6,0.03,6787
1,4,7,0.04,8902
1,4,8,0.15,33443
1,4,9,0.26,57819
1,4,10,0.27,60576
1,4,11,0.14,30802
1,4,12,0.09,21176
1,4,13,0.09,19342
1,4,14,0.1,21743
1,4,15,0.06,14361
1,4,16,0.03,7675
1,4,17,0.07,14973
1,4,18,0.1,22653
1,4,19,0.2,43956
1,4,20,0.11,25529
1,4,21,0.09,20305
1,4,22,0.05,11969
1,4,23,0.06,14025
1,5,0,0.11,23754
1,5,1,0.06,14136
1,5,2,0.04,8858
1,5,3,0.02,4164
1,5,4,0.01,1429
1,5,5,0.0,990
1,5,6,0.03,6067
1,5,7,0.06,14145
1,5,8,0.15,33960
1,5,9,0.26,58442
1,5,10,0.29,65092
1,5,11,0.16,36931
1,5,12,0.13,28249
1,5,13,0.1,21705
1,5,14,0.04,9206
1,5,15,0.06,13182
1,5,16,0.04,8980
1,5,17,0.1,21442
1,5,18,0.09,21053
1,5,19,0.17,38054
1,5,20,0.14,30695
1,5,21,0.07,15655
1,5,22,0.08,17061
1,5,23,0.12,26274
1,6,0,0.12,26490
1,6,1,0.05,10253
1,6,2,0.05,11949
1,6,3,0.01,2873
1,6,4,0.01,2536
1,6,5,0.01,1711
1,6,6,0.02,4992
1,6,7,0.07,15188
1,6,8,0.16,36268
1,6,9,0.21,46399
1,6,10,0.12,27086
1,6,11,0.16,35993
1,6,12,0.09,19492
1,6,13,0.11,24735
1,6,14,0.06,13626
1,6,15,0.08,18412
1,6,16,0.03,7114
1,6,17,0.05,12202
1,6,18,0.12,26615
1,6,19,0.11,24498
1,6,20,0.15,32724
1,6,21,0.13,29344
1,6,22,0.04,7937
1,6,23,0.1,23138
1,7,0,0.1,23554
1,7,1,0.07,15864
1,7,2,0.03,6111
1,7,3,0.01,2963
1,7,4,0.01,2500
1,7,5,0.01,1188
1,7,6,0.03,7051
1,7,7,0.09,19226
1,7,8,0.13,29371
1,7,9,0.25,56162
1,7,10,0.21,47474
1,7,11,0.13,29067
1,7,12,0.17,38919
1,7,13,0.11,24737
1,7,14,0.06,12424
1,7,15,0.07,15448
1,7,16,0.03,6691
1,7,17,0.07,15881
1,7,18,0.13,28523
1,7,19,0.13,28126
1,7,20,0.17,38421
1,7,21,0.11,24399
1,7,22,0.07,15997
1,7,23,0.14,32604
1,8,0,0.09,20760
1,8,1,0.05,10770
1,8,2,0.03,6879
1,8,3,0.02,3521
1,8,4,0.01,2169
1,8,5,0.01,1200
1,8,6,0.03,7094
1,8,7,0.09,21352
1,8,8,0.16,35502
1,8,9,0.32,72369
1,8,10,0.18,41307
1,8,11,0.26,59451
1,8,12,0.14,30691
1,8,13,0.08,17377
1,8,14,0.06,12956
1,8,15,0.07,14871
1,8,16,0.04,8352
1,8,17,0.07,15639
1,8,18,0.11,24733
1,8,19,0.15,34742
1,8,20,0.11,24408
1,8,21,0.06,13741
1,8,22,0.05,11789
1,8,23,0.12,26852
1,9,0,0.1,23300
1,9,1,0.04,9137
1,9,2,0.04,9230
1,9,3,0.02,4849
1,9,4,0.01,1723
1,9,5,0.01,1148
1,9,6,0.03,6732
1,9,7,0.06,12638
1,9,8,0.17,38552
1,9,9,0.27,60522
1,9,10,0.25,56210
1,9,11,0.2,44709
1,9,12,0.08,17399
1,9,13,0.08,16931
1,9,14,0.09,19972
1,9,15,0.07,14975
1,9,16,0.04,9986
1,9,17,0.12,26051
1,9,18,0.11,25273
1,9,19,0.2,45433
1,9,20,0.17,38348
1,9,21,0.11,25718
1,9,22,0.05,12224
1,9,23,0.12,26313
1,10,0,0.08,17844
1,10,1,0.06,12484
1,10,2,0.03,7773
1,10,3,0.02,4514
1,10,4,0.02,3491
1,10,5,0.0,590
1,10,6,0.03,7773
1,10,7,0.05,10560
1,10,8,0.14,31212
1,10,9,0.3,67531
1,10,10,0.2,44944
1,10,11,0.11,25852
1,10,12,0.1,21794
1,10,13,0.11,25874
1,10,14,0.06,14463
1,10,15,0.06,13988
1,10,16,0.04,8947
1,10,17,0.05,11108
1,10,18,0.15,33971
1,10,19,0.18,40995
1,10,20,0.07,15287
1,10,21,0.1,23148
1,10,22,0.05,11075
1,10,23,0.12,26830
1,11,0,0.08,17735
1,11,1,0.06,12889
1,11,2,0.04,9964
1,11,3,0.02,5381
1,11,4,0.01,1548
1,11,5,0.0,1013
1,11,6,0.03,5847
1,11,7,0.07,14803
1,11,8,0.23,51005
1,11,9,0.26,58454
1,11,10,0.13,30290
1,11,11,0.19,43507
1,11,12,0.18,40621
1,11,13,0.12,27825
1,11,14,0.05,10973
1,11,15,0.05,11664
1,11,16,0.05,11649
1,11,17,0.05,10922
1,11,18,0.11,24571
1,11,19,0.19,42240
1,11,20,0.11,23788
1,11,21,0.1,21788
1,11,22,0.01,2517
1,11,23,0.07,16453
1,12,0,0.09,20720
1,12,1,0.04,9130
1,12,2,0.06,12457
1,12,3,0.01,2842
1,12,4,0.01,1968
1,12,5,0.01,1142
1,12,6,0.04,9026
1,12,7,0.05,11342
1,12,8,0.2,45677
1,12,9,0.24,53216
1,12,10,0.15,33380
1,12,11,0.18,39475
1,12,12,0.12,27861
1,12,13,0.08,18798
1,12,14,0.08,18002
1,12,15,0.05,11992
1,12,16,0.04,9098
1,12,17,0.07,15467
1,12,18,0.14,30886
1,12,19,0.11,24436
1,12,20,0.21,47475
1,12,21,0.05,11323
1,12,22,0.06,12766
1,12,23,0.11,25370
1,13,0,0.11,23670
1,13,1,0.05,11204
1,13,2,0.04,8386
1,13,3,0.02,3878
1,13,4,0.01,1886
1,13,5,0.01,1341
1,13,6,0.03,7227
1,13,7,0.07,14628
1,13,8,0.19,43345
1,13,9,0.25,57158
1,13,10,0.24,53222
1,13,11,0.18,40957
1,13,12,0.09,21040
1,13,13,0.08,19019
1,13,14,0.09,20999
1,13,15,0.07,15295
1,13,16,0.04,8800
1,13,17,0.06,13659
1,13,18,0.13,29181
1,13,19,0.13,30153
1,13,20,0.16,35198
1,13,21,0.09,20999
1,13,22,0.06,12548
1,13,23,0.13,28192
1,14,0,0.12,26681
1,14,1,0.07,15969
1,14,2,0.05,11734
1,14,3,0.02,4447
1,14,4,0.01,2589
1,14,5,0.0,1020
1,14,6,0.03,7173
1,14,7,0.08,17118
1,14,8,0.16,36245
1,14,9,0.27,60978
1,14,10,0.16,35185
1,14,11,0.24,53897
1,14,12,0.09,19865
1,14,13,0.07,15403
1,14,14,0.1,22816
1,14,15,0.07,15896
1,14,16,0.05,10227
1,14,17,0.07,15355
1,14,18,0.1,22049
1,14,19,0.12,27449
1,14,20,0.14,31550
1,14,21,0.08,18373
1,14,22,0.07,16505
1,14,23,0.09,21304
1,15,0,0.08,17552
1,15,1,0.05,12204
1,15,2,0.04,9760
1,15,3,0.02,3800
1,15,4,0.01,1757
1,15,5,0.01,1173
1,15,6,0.03,7041
1,15,7,0.07,15451
1,15,8,0.14,31220
1,15,9,0.25,56159
1,15,10,0.13,28220
1,15,11,0.1,22935
1,15,12,0.1,21773
1,15,13,0.09,20937
1,15,14,0.08,19069
1,15,15,0.08,18165
1,15,16,0.05,10744
1,15,17,0.06,12739
1,15,18,0.1,22012
1,15,19,0.12,26518
1,15,20,0.14,30820
1,15,21,0.09,20521
1,15,22,0.06,14341
1,15,23,0.08,17543
1,16,0,0.11,24988
1,16,1,0.08,18355
1,16,2,0.04,8606
1,16,3,0.02,4868
1,16,4,0.01,2593
1,16,5,0.0,995
1,16,6,0.03,7007
1,16,7,0.08,17749
1,16,8,0.16,36251
1,16,9,0.19,42822
1,16,10,0.2,44504
1,16,11,0.18,39792
1,16,12,0.16,36168
1,16,13,0.12,27421
1,16,14,0.12,27218
1,16,15,0.05,10724
1,16,16,0.05,10776
1,16,17,0.06,13878
1,16,18,0.15,34225
1,16,19,0.13,28236
1,16,20,0.11,24463
1,16,21,0.08,18803
1,16,22,0.03,6224
1,16,23,0.09,19210
1,17,0,0.08,17919
1,17,1,0.06,13769
1,17,2,0.04,9603
1,17,3,0.03,6498
1,17,4,0.01,2737
1,17,5,0.0,946
1,17,6,0.02,5145
1,17,7,0.09,19869
1,17,8,0.11,23707
1,17,9,0.34,77384
1,17,10,0.25,57276
1,17,11,0.14,31236
1,17,12,0.07,15173
1,17,13,0.13,29603
1,17,14,0.08,17187
1,17,15,0.08,17376
1,17,16,0.02,5320
1,17,17,0.05,11282
1,17,18,0.1,22146
1,17,19,0.16,35802
1,17,20,0.12,27480
1,17,21,0.11,25561
1,17,22,0.04,9728
1,17,23,0.09,21329
1,18,0,0.1,22782
1,18,1,0.07,14977
1,18,2,0.05,10421
1,18,3,0.01,3180
1,18,4,0.01,1363
1,18,5,0.01,1459
1,18,6,0.03,7186
1,18,7,0.06,14383
1,18,8,0.22,49109
1,18,9,0.24,54615
1,18,10,0.25,57275
1,18,11,0.16,35984
1,18,12,0.18,40213
1,18,13,0.14,31822
1,18,14,0.07,16592
1,18,15,0.07,16493
1,18,16,0.05,10274
1,18,17,0.08,17810
1,18,18,0.07,16781
1,18,19,0.18,41456
1,18,20,0.17,39156
1,18,21,0.06,12392
1,18,22,0.04,9345
1,18,23,0.05,10841
1,19,0,0.09,20627
1,19,1,0.07,15650
1,19,2,0.05,12169
1,19,3,0.02,4505
1,19,4,0.01,3112
1,19,5,0.0,724
1,19,6,0.02,3810
1,19,7,0.08,17448
1,19,8,0.17,38784
1,19,9,0.23,52646
1,19,10,0.09,21371
1,19,11,0.15,34598
1,19,12,0.08,17885
1,19,13,0.11,25819
1,19,14,0.09,19315
1,19,15,0.05,10152
1,19,16,0.03,7710
1,19,17,0.04,9756
1,19,18,0.1,21770
1,19,19,0.19,43837
1,19,20,0.1,23333
1,19,21,0.11,24904
1,19,22,0.05,11511
1,19,23,0.08,17733
1,20,0,0.1,21525
1,20,1,0.04,9836
1,20,2,0.03,7622
1,20,3,0.01,3099
1,20,4,0.01,3298
1,20,5,0.0,1116
1,20,6,0.02,5474
1,20,7,0.08,18640
1,20,8,0.15,34393
1,20,9,0.22,50148
1,20,10,0.23,51025
1,20,11,0.19,42088
1,20,12,0.1,23020
1,20,13,0.08,18933
1,20,14,0.07,16477
1,20,15,0.03,5633
1,20,16,0.02,5496
1,20,17,0.08,17805
1,20,18,0.14,31212
1,20,19,0.15,33184
1,20,20,0.16,35426
1,20,21,0.11,23838
1,20,22,0.1,23484
1,20,23,0.13,28307
1,21,0,0.1,21409
1,21,1,0.04,10100
1,21,2,0.02,5294
1,21,3,0.02,4648
1,21,4,0.01,1793
1,21,5,0.0,713
1,21,6,0.02,5563
1,21,7,0.06,12909
1,21,8,0.22,50312
1,21,9,0.29,64779
1,21,10,0.2,44145
1,21,11,0.22,48479
1,21,12,0.12,27053
1,21,13,0.08,17355
1,21,14,0.11,24431
1,21,15,0.07,15058
1,21,16,0.03,6553
1,21,17,0.06,12639
1,21,18,0.08,17275
1,21,19,0.1,23154
1,21,20,0.17,38133
1,21,21,0.15,32674
1,21,22,0.04,8630
1,21,23,0.11,25229
1,22,0,0.08,18519
1,22,1,0.05,11654
1,22,2,0.03,7537
1,22,3,0.02,3468
1,22,4,0.01,2238
1,22,5,0.0,876
1,22,6,0.03,7084
1,22,7,0.08,17471
1,22,8,0.15,33273
1,22,9,0.18,41037
1,22,10,0.17,37855
1,22,11,0.19,42069
1,22,12,0.13,29864
1,22,13,0.07,16712
1,22,14,0.08,18133
1,22,15,0.07,15763
1,22,16,0.02,5155
1,22,17,0.07,15073
1,22,18,0.08,18453
1,22,19,0.18,40435
1,22,20,0.11,25055
1,22,21,0.05,12137
1,22,22,0.03,7871
1,22,23,0.1,22383
1,23,0,0.1,23553
1,23,1,0.05,10270
1,23,2,0.05,10259
1,23,3,0.01,2586
1,23,4,0.01,2175
1,23,5,0.0,771
1,23,6,0.02,5554
1,23,7,0.08,17903
1,23,8,0.12,27775
1,23,9,0.21,47977
1,23,10,0.25,55361
1,23,11,0.13,30283
1,23,12,0.14,32085
1,23,13,0.07,15870
1,23,14,0.09,20037
1,23,15,0.08,18052
1,23,16,0.02,3380
1,23,17,0.05,10626
1,23,18,0.11,25307
1,23,19,0.15,33590
1,23,20,0.15,33836
1,23,21,0.08,18777
1,23,22,0.06,13557
1,23,23,0.09,21256
1,24,0,0.13,28574
1,24,1,0.06,14114
1,24,2,0.04,9593
1,24,3,0.02,3968
1,24,4,0.01,1942
1,24,5,0.0,986
1,24,6,0.03,7289
1,24,7,0.07,15831
1,24,8,0.17,37950
1,24,9,0.36,80621
1,24,10,0.24,53867
1,24,11,0.14,32503
1,24,12,0.15,34510
1,24,13,0.09,19860
1,24,14,0.04,8678
1,24,15,0.04,9926
1,24,16,0.02,4709
1,24,17,0.05,12104
1,24,18,0.1,22219
1,24,19,0.22,50218
1,24,20,0.15,33494
1,24,21,0.09,20905
1,24,22,0.07,16022
