month,day,hour,base_price_€kWh,final_price_€kWh
1,1,0,0.1205,0.1355
1,1,1,0.0999,0.0965
1,1,2,0.0885,0.1029
1,1,3,0.0835,0.1153
1,1,4,0.0894,0.0841
1,1,5,0.0979,0.0921
1,1,6,0.1336,0.1864
1,1,7,0.1778,0.2119
1,1,8,0.1102,0.0972
1,1,9,0.0754,0.0857
1,1,10,0.15,0.1326
1,1,11,0.1488,0.1315
1,1,12,0.1487,0.1577
1,1,13,0.1459,0.0761
1,1,14,0.0714,0.0406
1,1,15,0.0713,0.0613
1,1,16,0.072,0.0538
1,1,17,0.071,0.0765
1,1,18,0.1875,0.1449
1,1,19,0.315,0.2038
1,1,20,0.3171,0.4332
1,1,21,0.2898,0.2734
1,1,22,0.2049,0.2084
1,1,23,0.1516,0.0976
1,2,0,0.1205,0.1041
1,2,1,0.0999,0.1027
1,2,2,0.0885,0.0631
1,2,3,0.0835,0.0913
1,2,4,0.0894,0.0759
1,2,5,0.0979,0.0907
1,2,6,0.1336,0.1135
1,2,7,0.1778,0.2601
1,2,8,0.1102,0.1098
1,2,9,0.0754,0.0555
1,2,10,0.15,0.1808
1,2,11,0.1488,0.1034
1,2,12,0.1487,0.1565
1,2,13,0.1459,0.0744
1,2,14,0.0714,0.0477
1,2,15,0.0713,0.0748
1,2,16,0.072,0.0853
1,2,17,0.071,0.074
1,2,18,0.1875,0.182
1,2,19,0.315,0.2913
1,2,20,0.3171,0.1999
1,2,21,0.2898,0.2376
1,2,22,0.2049,0.1813
1,2,23,0.1516,0.1916
1,3,0,0.1205,0.1309
1,3,1,0.0999,0.0559
1,3,2,0.0885,0.0957
1,3,3,0.0835,0.0755
1,3,4,0.0894,0.0742
1,3,5,0.0979,0.1128
1,3,6,0.1336,0.1681
1,3,7,0.1778,0.2192
1,3,8,0.1102,0.0871
1,3,9,0.0754,0.0696
1,3,10,0.15,0.1624
1,3,11,0.1488,0.1851
1,3,12,0.1487,0.1309
1,3,13,0.1459,0.1392
1,3,14,0.0714,0.0517
1,3,15,0.0713,0.05
1,3,16,0.072,0.0866
1,3,17,0.071,0.095
1,3,18,0.1875,0.1841
1,3,19,0.315,0.394
1,3,20,0.3171,0.3457
1,3,21,0.2898,0.2431
1,3,22,0.2049,0.2234
1,3,23,0.1516,0.2099
1,4,0,0.1205,0.1194
1,4,1,0.0999,0.139
1,4,2,0.0885,0.0306
1,4,3,0.0835,0.1006
1,4,4,0.0894,0.0913
1,4,5,0.0979,0.0905
1,4,6,0.1336,0.1367
1,4,7,0.1778,0.0894
1,4,8,0.1102,0.1041
1,4,9,0.0754,0.0822
1,4,10,0.15,0.2054
1,4,11,0.1488,0.1295
1,4,12,0.1487,0.1186
1,4,13,0.1459,0.1276
1,4,14,0.0714,0.0878
1,4,15,0.0713,0.0772
1,4,16,0.072,0.0625
1,4,17,0.071,0.0801
1,4,18,0.1875,0.192
1,4,19,0.315,0.3913
1,4,20,0.3171,0.2614
1,4,21,0.2898,0.2661
1,4,22,0.2049,0.1848
1,4,23,0.1516,0.0961
1,5,0,0.1205,0.1294
1,5,1,0.0999,0.1065
1,5,2,0.0885,0.0887
1,5,3,0.0835,0.0786
1,5,4,0.0894,0.0577
1,5,5,0.0979,0.0876
1,5,6,0.1336,0.1222
1,5,7,0.1778,0.1421
1,5,8,0.1102,0.1057
1,5,9,0.0754,0.0831
1,5,10,0.15,0.2207
1,5,11,0.1488,0.1553
1,5,12,0.1487,0.1583
1,5,13,0.1459,0.1432
1,5,14,0.0714,0.0372
1,5,15,0.0713,0.0708
1,5,16,0.072,0.0731
1,5,17,0.071,0.1146
1,5,18,0.1875,0.1784
1,5,19,0.315,0.3387
1,5,20,0.3171,0.3143
1,5,21,0.2898,0.2051
1,5,22,0.2049,0.2635
1,5,23,0.1516,0.1801
1,6,0,0.1205,0.1444
1,6,1,0.0999,0.0772
1,6,2,0.0885,0.1196
1,6,3,0.0835,0.0542
1,6,4,0.0894,0.1025
1,6,5,0.0979,0.1515
1,6,6,0.1336,0.1005
1,6,7,0.1778,0.1526
1,6,8,0.1102,0.1129
1,6,9,0.0754,0.0659
1,6,10,0.15,0.0918
1,6,11,0.1488,0.1514
1,6,12,0.1487,0.1092
1,6,13,0.1459,0.1632
1,6,14,0.0714,0.055
1,6,15,0.0713,0.0989
1,6,16,0.072,0.0579
1,6,17,0.071,0.0652
1,6,18,0.1875,0.2256
1,6,19,0.315,0.2181
1,6,20,0.3171,0.3351
1,6,21,0.2898,0.3845
1,6,22,0.2049,0.1226
1,6,23,0.1516,0.1586
1,7,0,0.1205,0.1284
1,7,1,0.0999,0.1195
1,7,2,0.0885,0.0612
1,7,3,0.0835,0.0559
1,7,4,0.0894,0.101
1,7,5,0.0979,0.1051
1,7,6,0.1336,0.142
1,7,7,0.1778,0.1932
1,7,8,0.1102,0.0914
1,7,9,0.0754,0.0798
1,7,10,0.15,0.1609
1,7,11,0.1488,0.1222
1,7,12,0.1487,0.2181
1,7,13,0.1459,0.1632
1,7,14,0.0714,0.0501
1,7,15,0.0713,0.083
1,7,16,0.072,0.0544
1,7,17,0.071,0.0849
1,7,18,0.1875,0.2417
1,7,19,0.315,0.2504
1,7,20,0.3171,0.3934
1,7,21,0.2898,0.3197
1,7,22,0.2049,0.247
1,7,23,0.1516,0.2234
1,8,0,0.1205,0.1131
1,8,1,0.0999,0.0811
1,8,2,0.0885,0.0689
1,8,3,0.0835,0.0665
1,8,4,0.0894,0.0876
1,8,5,0.0979,0.1062
1,8,6,0.1336,0.1429
1,8,7,0.1778,0.2146
1,8,8,0.1102,0.1105
1,8,9,0.0754,0.1029
1,8,10,0.15,0.14
1,8,11,0.1488,0.25
1,8,12,0.1487,0.172
1,8,13,0.1459,0.1147
1,8,14,0.0714,0.0523
1,8,15,0.0713,0.0799
1,8,16,0.072,0.068
1,8,17,0.071,0.0836
1,8,18,0.1875,0.2096
1,8,19,0.315,0.3092
1,8,20,0.3171,0.2499
1,8,21,0.2898,0.18
1,8,22,0.2049,0.1821
1,8,23,0.1516,0.184
1,9,0,0.1205,0.127
1,9,1,0.0999,0.0688
1,9,2,0.0885,0.0924
1,9,3,0.0835,0.0915
1,9,4,0.0894,0.0696
1,9,5,0.0979,0.1016
1,9,6,0.1336,0.1356
1,9,7,0.1778,0.127
1,9,8,0.1102,0.12
1,9,9,0.0754,0.086
1,9,10,0.15,0.1906
1,9,11,0.1488,0.188
1,9,12,0.1487,0.0975
1,9,13,0.1459,0.1117
1,9,14,0.0714,0.0806
1,9,15,0.0713,0.0805
1,9,16,0.072,0.0813
1,9,17,0.071,0.1393
1,9,18,0.1875,0.2142
1,9,19,0.315,0.4044
1,9,20,0.3171,0.3927
1,9,21,0.2898,0.337
1,9,22,0.2049,0.1888
1,9,23,0.1516,0.1803
1,10,0,0.1205,0.0972
1,10,1,0.0999,0.094
1,10,2,0.0885,0.0778
1,10,3,0.0835,0.0852
1,10,4,0.0894,0.1411
1,10,5,0.0979,0.0522
1,10,6,0.1336,0.1566
1,10,7,0.1778,0.1061
1,10,8,0.1102,0.0972
1,10,9,0.0754,0.096
1,10,10,0.15,0.1524
1,10,11,0.1488,0.1087
1,10,12,0.1487,0.1221
1,10,13,0.1459,0.1707
1,10,14,0.0714,0.0584
1,10,15,0.0713,0.0752
1,10,16,0.072,0.0728
1,10,17,0.071,0.0594
1,10,18,0.1875,0.2879
1,10,19,0.315,0.3649
1,10,20,0.3171,0.1565
1,10,21,0.2898,0.3033
1,10,22,0.2049,0.171
1,10,23,0.1516,0.1839
1,11,0,0.1205,0.0966
1,11,1,0.0999,0.0971
1,11,2,0.0885,0.0997
1,11,3,0.0835,0.1016
1,11,4,0.0894,0.0625
1,11,5,0.0979,0.0897
1,11,6,0.1336,0.1178
1,11,7,0.1778,0.1488
1,11,8,0.1102,0.1588
1,11,9,0.0754,0.0831
1,11,10,0.15,0.1027
1,11,11,0.1488,0.183
1,11,12,0.1487,0.2276
1,11,13,0.1459,0.1836
1,11,14,0.0714,0.0443
1,11,15,0.0713,0.0627
1,11,16,0.072,0.0948
1,11,17,0.071,0.0584
1,11,18,0.1875,0.2082
1,11,19,0.315,0.376
1,11,20,0.3171,0.2436
1,11,21,0.2898,0.2855
1,11,22,0.2049,0.0389
1,11,23,0.1516,0.1128
1,12,0,0.1205,0.1129
1,12,1,0.0999,0.0688
1,12,2,0.0885,0.1247
1,12,3,0.0835,0.0536
1,12,4,0.0894,0.0795
1,12,5,0.0979,0.1011
1,12,6,0.1336,0.1818
1,12,7,0.1778,0.114
1,12,8,0.1102,0.1422
1,12,9,0.0754,0.0756
1,12,10,0.15,0.1132
1,12,11,0.1488,0.166
1,12,12,0.1487,0.1561
1,12,13,0.1459,0.124
1,12,14,0.0714,0.0727
1,12,15,0.0713,0.0644
1,12,16,0.072,0.074
1,12,17,0.071,0.0827
1,12,18,0.1875,0.2618
1,12,19,0.315,0.2175
1,12,20,0.3171,0.4861
1,12,21,0.2898,0.1484
1,12,22,0.2049,0.1972
1,12,23,0.1516,0.1739
1,13,0,0.1205,0.129
1,13,1,0.0999,0.0844
1,13,2,0.0885,0.0839
1,13,3,0.0835,0.0732
1,13,4,0.0894,0.0762
1,13,5,0.0979,0.1187
1,13,6,0.1336,0.1456
1,13,7,0.1778,0.147
1,13,8,0.1102,0.1349
1,13,9,0.0754,0.0812
1,13,10,0.15,0.1804
1,13,11,0.1488,0.1722
1,13,12,0.1487,0.1179
1,13,13,0.1459,0.1255
1,13,14,0.0714,0.0848
1,13,15,0.0713,0.0822
1,13,16,0.072,0.0716
1,13,17,0.071,0.073
1,13,18,0.1875,0.2473
1,13,19,0.315,0.2684
1,13,20,0.3171,0.3604
1,13,21,0.2898,0.2752
1,13,22,0.2049,0.1938
1,13,23,0.1516,0.1932
1,14,0,0.1205,0.1454
1,14,1,0.0999,0.1203
1,14,2,0.0885,0.1175
1,14,3,0.0835,0.0839
1,14,4,0.0894,0.1046
1,14,5,0.0979,0.0903
1,14,6,0.1336,0.1445
1,14,7,0.1778,0.172
1,14,8,0.1102,0.1128
1,14,9,0.0754,0.0867
1,14,10,0.15,0.1193
1,14,11,0.1488,0.2267
1,14,12,0.1487,0.1113
1,14,13,0.1459,0.1016
1,14,14,0.0714,0.0921
1,14,15,0.0713,0.0854
1,14,16,0.072,0.0832
1,14,17,0.071,0.0821
1,14,18,0.1875,0.1869
1,14,19,0.315,0.2443
1,14,20,0.3171,0.3231
1,14,21,0.2898,0.2407
1,14,22,0.2049,0.2549
1,14,23,0.1516,0.146
1,15,0,0.1205,0.0956
