step,station_id,water_level,max_water_level,inflow,outflow,gate_opening,total_generated,total_revenue
0,0,1499860.0,2500000,24863.0,25000.0,1.0,575.0,77.91250000000001
1,0,1499720.00028,2500000,24863.0,25000.0,1.0,1150.0,155.82500000000002
2,0,1499580.0008399996,2500000,24863.0,25000.0,1.0,1725.0,233.7375
3,0,1499440.0016799981,2500000,24863.0,25000.0,1.0,2300.0,311.65000000000003
4,0,1487248.0027999948,2500000,12811.0,25000.0,1.0,2875.0,367.13750000000005
5,0,1475056.0283039892,2500000,12811.0,25000.0,1.0,3450.0,422.62500000000006
6,0,1462864.0781919328,2500000,12811.0,25000.0,1.0,4025.0,478.11250000000007
7,0,1450672.1524637765,2500000,12811.0,25000.0,1.0,4600.0,533.6
8,0,1435948.2511194716,2500000,10279.0,25000.0,1.0,5175.0,592.7675
9,0,1421224.3792229695,2500000,10279.0,25000.0,1.0,5750.0,651.9350000000001
10,0,1406500.536774211,2500000,10279.0,25000.0,1.0,6325.0,711.1025000000001
11,0,1391776.7237731377,2500000,10279.0,25000.0,1.0,6900.0,770.2700000000001
12,0,1372881.94021969,2500000,6108.0,25000.0,1.0,7475.0,836.5675000000001
13,0,1353987.1944558097,2500000,6108.0,25000.0,1.0,8050.0,902.8650000000001
14,0,1335092.486481421,2500000,6108.0,25000.0,1.0,8625.0,969.1625000000001
15,0,1316197.816296448,2500000,6108.0,25000.0,1.0,9200.0,1035.46
16,0,1293277.1839008154,2500000,2082.0,25000.0,1.0,9775.0,1083.8175
17,0,1270356.5973464476,2500000,2082.0,25000.0,1.0,10350.0,1132.1750000000002
18,0,1247436.056633253,2500000,2082.0,25000.0,1.0,10925.0,1180.5325000000003
19,0,1224515.56176114,2500000,2082.0,25000.0,1.0,11500.0,1228.8900000000003
20,0,1200554.1127300165,2500000,1041.0,25000.0,1.0,12075.0,1281.8475000000003
21,0,1176592.7116217911,2500000,1041.0,25000.0,1.0,12650.0,1334.8050000000003
22,0,1152631.358436368,2500000,1041.0,25000.0,1.0,13225.0,1387.7625000000003
23,0,1128670.0531736512,2500000,1041.0,25000.0,1.0,13800.0,1440.7200000000003
24,0,1112922.795833545,2500000,9255.0,25000.0,1.0,14375.0,1547.9000000000003
25,0,1097175.5699879534,2500000,9255.0,25000.0,1.0,14950.0,1655.0800000000004
26,0,1081428.3756368135,2500000,9255.0,25000.0,1.0,15525.0,1762.2600000000004
27,0,1065681.2127800623,2500000,9255.0,25000.0,1.0,16100.0,1869.4400000000005
28,0,1061767.081417637,2500000,21088.0,25000.0,1.0,16675.0,1991.2825000000005
29,0,1057852.9578834742,2500000,21088.0,25000.0,1.0,17250.0,2113.1250000000005
30,0,1053938.8421775585,2500000,21088.0,25000.0,1.0,17825.0,2234.9675000000007
31,0,1050024.7342998742,2500000,21088.0,25000.0,1.0,18400.0,2356.810000000001
32,0,1056255.6342504057,2500000,31233.0,25000.0,1.0,18975.0,2412.7000000000007
33,0,1062486.5217391374,2500000,31233.0,25000.0,1.0,19550.0,2468.5900000000006
34,0,1068717.396766094,2500000,31233.0,25000.0,1.0,20125.0,2524.4800000000005
35,0,1074948.2593313006,2500000,31233.0,25000.0,1.0,20700.0,2580.3700000000003
36,0,1110226.109434782,2500000,60280.0,25000.0,1.0,21275.0,2629.6475000000005
37,0,1145503.8889825633,2500000,60280.0,25000.0,1.0,21850.0,2678.9250000000006
38,0,1180781.5979747854,2500000,60280.0,25000.0,1.0,22425.0,2728.202500000001
39,0,1216059.2364115894,2500000,60280.0,25000.0,1.0,23000.0,2777.480000000001
40,0,1230165.8042931168,2500000,39109.0,25000.0,1.0,23575.0,2853.725000000001
