step,total_energy,total_revenue
0,2944.0,398.91200000000003
1,5888.0,797.8240000000001
2,8832.0,1196.736
3,11776.0,1595.6480000000001
4,14720.0,1879.7440000000001
5,17664.0,2163.84
6,20608.0,2447.9360000000006
7,23552.0,2732.032
8,26496.0,3034.9696000000004
9,29440.0,3337.9072000000006
10,32384.0,3640.8448000000008
11,35328.0,3943.782400000001
12,38272.0,4283.225600000001
13,41216.0,4622.6688
14,44160.0,4962.112000000001
15,47104.0,5301.555200000002
16,50048.0,5549.145600000001
17,52992.0,5796.736000000001
18,55936.0,6044.3264
19,58880.0,6291.916800000001
20,61824.0,6563.0592
21,64768.0,6834.2016
22,67712.0,7105.344
23,70656.0,7376.486400000001
24,73600.0,7925.2480000000005
25,76544.0,8474.0096
26,79488.0,9022.771200000001
27,82432.0,9571.532799999999
28,85376.0,10195.3664
29,88320.0,10819.199999999999
30,91264.0,11443.033599999999
31,94208.0,12066.8672
32,97152.0,12353.024000000001
33,100096.0,12639.180800000002
34,103040.0,12925.3376
35,105984.0,13211.4944
36,108928.0,13463.795199999999
37,111872.0,13716.096000000001
38,114816.0,13968.396800000002
39,117760.0,14220.6976
40,120704.0,14611.072000000002
41,123648.0,15001.4464
42,126592.0,15391.820800000001
43,129536.0,15782.195200000002
44,132480.0,16169.331200000002
45,135424.0,16556.467200000003
46,138368.0,16943.603200000005
47,141312.0,17330.739200000004
48,144256.0,17795.008
49,147200.0,18259.2768
50,150144.0,18723.545600000005
51,153088.0,19187.814400000003
52,156032.0,19411.852800000004
53,158976.0,19635.891200000005
54,161920.0,19859.929600000003
55,164864.0,20083.968000000004
56,167808.0,20203.494400000007
57,170752.0,20323.020800000006
58,173696.0,20442.5472
59,176640.0,20562.073600000003
60,179584.0,20742.540800000002
61,182528.0,20923.008
62,185472.0,21103.4752
63,188416.0,21283.9424
64,191360.0,21442.329600000005
65,194304.0,21600.716800000002
66,197248.0,21759.104000000003
67,200192.0,21917.491200000004
68,203136.0,22142.707200000004
69,206080.0,22367.923200000005
70,209024.0,22593.139200000005
71,211968.0,22818.355200000005
72,214912.0,23244.940800000004
73,217856.0,23671.526400000006
74,220800.0,24098.112000000005
75,223744.0,24524.697600000007
76,226688.0,25124.68480000001
77,229632.0,25724.672000000006
78,232576.0,26324.659200000002
79,235520.0,26924.64640000001
80,238464.0,28199.98720000001
81,241408.0,29475.328000000005
82,244352.0,30750.668800000007
83,247296.0,32026.00960000001
84,250240.0,32830.89920000001
85,253184.0,33635.78880000001
86,256128.0,34440.678400000004
87,259072.0,35245.56800000001
88,262016.0,35859.09760000001
89,264960.0,36472.62720000001
90,267904.0,37086.156800000004
91,270848.0,37699.686400000006
92,273792.0,37987.020800000006
93,276736.0,38274.355200000005
94,279680.0,38561.689600000005
95,282624.0,38849.024
96,285568.0,39155.4944
97,288512.0,39461.9648
98,291456.0,39768.43520000001
99,294400.0,40074.905600000006
100,297344.0,40377.25439999999
101,300288.0,40679.603200000005
102,303232.0,40981.952000000005
103,306176.0,41284.3008
104,309120.0,41470.067200000005
105,312064.0,41655.833600000005
106,315008.0,41841.600000000006
107,317952.0,42027.366400000006
108,320896.0,42296.153600000005
109,323840.0,42564.9408
110,326784.0,42833.727999999996
111,329728.0,43102.5152
112,332672.0,43325.964799999994
113,335616.0,43549.414399999994
114,338560.0,43772.86399999999
115,341504.0,43996.313599999994
116,344448.0,44263.33439999999
117,347392.0,44530.3552
118,350336.0,44797.376
119,353280.0,45064.39679999999
120,356224.0,45398.540799999995
121,359168.0,45732.68479999999
122,362112.0,46066.8288
123,365056.0,46400.972799999996
124,368000.0,47166.7072
125,370944.0,47932.4416
126,373888.0,48698.17599999999
127,376832.0,49463.91039999999
128,379776.0,49787.16159999999
129,382720.0,50110.41279999999
130,385664.0,50433.664
131,388608.0,50756.915199999996
132,391552.0,50920.307199999996
133,394496.0,51083.6992
134,397440.0,51247.091199999995
135,400384.0,51410.4832
136,403328.0,51942.7584
137,406272.0,52475.033599999995
138,409216.0,53007.3088
139,412160.0,53539.583999999995
140,415104.0,53843.9936
141,418048.0,54148.4032
142,420992.0,54452.8128
143,423936.0,54757.2224
144,426880.0,55217.958399999996
145,429824.0,55678.69439999999
146,432768.0,56139.4304
147,435712.0,56600.1664
148,438656.0,56819.2
149,441600.0,57038.23360000001
150,444544.0,57257.26720000001
151,447488.0,57476.3008
152,450432.0,57616.7296
153,453376.0,57757.15839999999
154,456320.0,57897.587199999994
155,459264.0,58038.016
156,462208.0,58258.227199999994
157,465152.0,58478.4384
158,468096.0,58698.649600000004
159,471040.0,58918.860799999995
160,473984.0,59169.984000000004
161,476928.0,59421.1072
162,479872.0,59672.2304
163,482816.0,59923.3536
164,485760.0,60141.2096
165,488704.0,60359.065599999994
166,491648.0,60576.9216
167,494592.0,60794.7776
168,497536.0,61330.585600000006
169,500480.0,61866.39359999999
170,503424.0,62402.2016
171,506368.0,62938.0096
172,509255.3335681221,63779.08986839396
173,512061.33132145426,64596.47701393961
174,514867.3294814655,65413.86427795088
175,517673.32764147467,66231.25154196157
176,520479.3258014839,66792.1705741474
177,523285.3239614931,67353.08960633325
178,526091.3221215022,67914.00863851908
179,528897.3202815115,68474.92767070491
180,531703.3184415207,69141.6328335231
181,534509.31660153,69808.33799634129
182,537315.3147615391,70475.04315915947
183,540121.3129215483,71141.74832197766
184,542904.8416759068,71646.40208514285
185,545595.8350230794,72134.27917898525
186,548286.8293881415,72622.15645737102
187,550977.8237531926,73110.03373575475
188,553668.8181182435,73625.62825609851
189,556359.8124832944,74141.22277644229
190,559050.8068483453,74656.81729678604
191,561741.8012133962,75172.4118171298
192,564432.7955784472,75524.66297951496
193,567123.7899434981,75876.91414190014
194,569814.784308549,76229.1653042853
195,572505.7786736,76581.41646667047
196,575196.773038651,76731.84305167681
197,577887.7674037019,76882.26963668318
198,580578.7617687528,77032.69622168952
199,583269.7561338037,77183.12280669586
200,585960.7504988547,77440.65096743124
201,588651.7448639057,77698.17912816662
202,591342.7392289565,77955.70728890199
203,594033.7335940076,78213.23544963736
204,596724.7279590585,78416.40552419871
205,599415.7223241094,78619.57559876006
206,602106.7166891603,78822.74567332139
207,604797.7110542112,79025.91574788275
208,607488.7054192622,79225.58752976952
209,610179.6997843131,79425.2593116563
210,612870.694149364,79624.9310935431
211,615561.6885144151,79824.60287542987
212,618252.682879466,80128.1470398076
213,620789.0977944233,80414.25464221482
214,622934.4163186331,80656.24657174568
215,625079.7356250358,80898.23858950788
216,627225.0549314368,81258.8667649139
217,629532.984237838,81646.82968131991
218,631840.9132190188,82034.79254305646
219,634148.8422002007,82422.7554047931
220,636456.7711813824,82928.65343746814
221,639074.4641625641,83502.45173894317
222,641692.1565242177,84076.24990461765
223,644309.8488858728,84650.04807029243
224,646927.5412475277,84878.04907499258
225,649618.5356125786,85112.43468418851
226,652309.5299776295,85346.82029338444
227,655000.5243426805,85581.20590258038
228,657691.5187077314,85768.49911038793
229,660382.5130727824,85955.79231819548
230,663073.5074378332,86143.08552600304
231,665764.5018028843,86330.37873381056
232,668455.4961679352,86767.39621869485
233,671146.4905329861,87204.41370357912
234,673837.484898037,87641.4311884634
235,676528.479263088,88078.44867334767
236,679219.4736281389,88576.55173031859
237,681910.4679931898,89074.65478728953
238,684601.4623582407,89572.75784426046
239,687292.4567232918,90070.86090123137
240,689983.4510883427,90423.11206361654
241,692655.6125522538,90772.89799924253
242,695277.6039818007,91116.11667737024
243,697899.5958628783,91459.33541460325
244,700521.5877439515,91824.31668444867
245,703143.5796250249,92189.29795429407
246,705765.571506098,92554.27922413948
247,708387.5633871714,92919.26049398488
248,711009.5552682447,93054.81747423636
249,713631.5471493179,93190.37445448787
250,716253.5390303913,93325.93143473935
251,718875.5309114646,93461.48841499085
252,721497.5227925378,93592.58800904451
253,724119.5146736111,93723.68760309817
254,726741.5065546844,93854.78719715185
255,729363.4984357577,93985.88679120551
256,731985.490316831,94212.95128810644
257,734607.4821979043,94440.0157850074
258,737229.4740789776,94667.08028190835
259,739851.4659600509,94894.14477880929
260,742473.4578411242,95143.23400751124
261,745095.4497221974,95392.32323621321
262,747717.4416032708,95641.41246491518
263,750339.433484344,95890.50169361715
264,752961.4253654174,96373.21039892273
265,755583.4172464906,96855.91910422832
266,758205.4091275639,97338.62780953391
267,760827.4010086373,97821.33651483951
268,763449.3928897105,98854.4013159824
269,766071.3847707838,99887.46611712527
270,768693.3766518572,100920.53091826814
271,771315.3685329304,101953.59571941102
272,773937.3604140037,102860.01831269806
273,776559.3522950769,103766.44090598512
274,779181.3441761503,104672.86349927215
275,781803.3360572236,105579.2860925592
276,784425.3279382968,106216.6923188481
277,787047.31981937,106854.09854513702
278,789669.3117004435,107491.50477142594
279,792291.3035815167,108128.91099771489
280,794913.2954625901,108714.66398394664
281,797535.2873436633,109300.41697017843
282,800157.2792247366,109886.1699564102
283,802779.27110581,110471.92294264199
284,805401.2629868832,111022.27903847928
285,808023.2548679565,111572.63513431656
286,810645.2467490298,112122.99123015386
287,813267.2386301031,112673.34732599114
288,815889.2305111764,112986.4131565913
289,818511.2223922496,113299.47898719144
290,821133.214273323,113612.54481779157
291,823755.2061543963,113925.61064839174
292,826377.1980354695,114290.06751986092
293,828999.1899165428,114654.52439133012
294,831621.1817976162,115018.98126279931
295,834243.1736786895,115383.4381342685
296,836865.1655597627,115463.67108582932
297,839487.1574408361,115543.90403739017
298,842109.1493219094,115624.13698895101
299,844731.1412029827,115704.36994051185
300,846951.3919965647,115927.72717034622
